,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name,survey_response
1250,1882,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,12/31/2018,180,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1251,257,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,205,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1253,1546,Wednesday,AIR CHINA,BEIJING,Asia,    Hub,Gates 91-102,12/31/2018,200,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1254,1143,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,415,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1255,3213,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1256,2905,Thursday,DELTA,SEATTLE,West US,    Hub,Gates 40-48,12/31/2018,180,Average,Somewhat safe,Somewhat unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1257,2571,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,93,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1258,2493,Friday,ALASKA,SALT LAKE CITY,West US,Medium,Gates 1-12,12/31/2018,75,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1259,1260,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,12/31/2018,270,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1261,1324,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,200,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1262,2278,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,12/31/2018,160,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1263,2018,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,180,Average,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1264,2816,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,110,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1265,3068,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,127,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1266,868,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,115,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1267,560,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,240,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1270,1789,Saturday,UNITED,RALEIGH-DURHAM,EAST US,    Medium,Gates 70-90,12/31/2018,75,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1271,1001,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,115,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1272,1925,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,125,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1273,2715,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,160,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1274,2358,Tuesday,JETBLUE,FT. LAUDERDALE,East US,Large,Gates 1-12,12/31/2018,181,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1275,364,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,135,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1276,3286,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,95,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1277,3100,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,173,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1278,2476,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,64,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1279,193,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,130,Clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1280,426,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,263,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1281,1752,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,295,Average,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1282,1084,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,325,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1283,537,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,240,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1284,1099,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,150,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1285,2266,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,12/31/2018,415,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1286,2145,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,    Medium,Gates 91-102,12/31/2018,125,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1287,1711,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,200,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1288,2656,Friday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 60-69,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1289,1590,Wednesday,UNITED INTL,HONG KONG,Asia,    Hub,Gates 91-102,12/31/2018,180,Average,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1290,264,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,265,Average,Somewhat safe,Somewhat unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1291,14,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,89,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1292,1236,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,105,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1293,2048,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,120,Average,Neutral,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1294,2412,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium     ,Gates 91-102,12/31/2018,145,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1296,1712,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,173,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1297,2580,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,135,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1299,1664,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,135,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1300,2276,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,110,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1301,2672,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,102,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1302,2677,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub     ,Gates 1-12,12/31/2018,210,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1303,1185,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1304,623,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,255,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1305,1354,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,230,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1306,1002,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,415,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1308,3149,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,705,Average,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1309,508,Sunday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,190,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1310,1217,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,130,Average,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1311,1821,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,85,Somewhat dirty,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1312,2349,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,180,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1313,607,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,132,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1314,1585,Wednesday,DELTA,SALT LAKE CITY,West US,Medium     ,Gates 40-48,12/31/2018,100,Somewhat dirty,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1315,344,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,240,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1316,3102,Sunday,COPA,PANAMA CITY,Central/South America,Medium     ,Gates 1-12,12/31/2018,173,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1317,2411,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,    Medium,Gates 91-102,12/31/2018,180,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1318,2075,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,12/31/2018,117,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1319,2362,Tuesday,JETBLUE,FT. LAUDERDALE,East US,Large,Gates 1-12,12/31/2018,181,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1320,1498,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,12/31/2018,135,Average,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1321,2607,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,175,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1322,3047,Tuesday,AMERICAN,LOS ANGELES,West US,Hub     ,Gates 50-59,12/31/2018,70,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1323,1683,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,155,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1324,2152,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium     ,Gates 91-102,12/31/2018,110,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1325,1501,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,12/31/2018,135,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1328,2718,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,360,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1329,2255,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,245,Average,Neutral,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1330,2909,Thursday,DELTA,SEATTLE,West US,    Hub,Gates 40-48,12/31/2018,240,Average,Neutral,Somewhat unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1331,1975,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,12/31/2018,190,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1332,679,Thursday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,165,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1333,2110,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,109,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1334,1225,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,95,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1335,3018,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,175,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1336,2453,Friday,UNITED,DENVER,West US,    Hub,Gates 70-90,12/31/2018,161,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1338,482,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,341,Average,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1339,3230,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,130,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1342,3190,Sunday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,1/1/2018,610,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1343,2444,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,210,Somewhat clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1344,3159,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1345,1624,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,12/31/2018,45,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1346,1379,Tuesday,UNITED INTL,SHANGHAI,Asia,    Hub,Gates 91-102,12/31/2018,265,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1347,3278,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,85,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1348,2555,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,60,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1349,1291,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,200,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1350,1229,Thursday,ANA ALL NIPPON,TOKYO-NARITA,Asia,    Hub,Gates 91-102,12/31/2018,150,Average,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1351,2505,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,184,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1353,2709,Friday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,12/31/2018,72,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1354,3020,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,75,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1356,2280,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,12/31/2018,385,Clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1357,1456,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,70,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1359,2464,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,135,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1360,2832,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,78,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1362,2504,Friday,ALASKA,SALT LAKE CITY,West US,Medium,Gates 1-12,12/31/2018,80,Somewhat clean,Neutral,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1363,2576,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,120,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1365,579,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,162,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1366,2766,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,12/31/2018,90,Average,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1367,1007,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium     ,Gates 91-102,12/31/2018,155,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1368,2815,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,160,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1369,2138,Wednesday,FRONTIER,DENVER,West US,Hub     ,Gates 20-39,12/31/2018,273,Somewhat clean,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1370,1648,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,350,Average,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1371,317,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,137,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1372,1285,Thursday,CHINA SOUTHERN,WUHAN,Asia,Medium,Gates 1-12,12/31/2018,195,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1373,2498,Saturday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,165,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1374,463,Sunday,ALASKA,LAS VEGAS,West US,Hub,Gates 50-59,12/31/2018,420,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1375,748,Thursday,AIR CANADA,TORONTO,Canada/Mexico,    Hub,Gates 91-102,12/31/2018,145,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1376,941,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,150,Somewhat clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1377,1880,Tuesday,UNITED,BOSTON,EAST US,    Large,Gates 70-90,12/31/2018,130,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1378,384,Friday,ALASKA,INDIANAPOLIS,Midwest US,    Medium,Gates 50-59,12/31/2018,370,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1379,3066,Sunday,COPA,PANAMA CITY,Central/South America,    Medium,Gates 1-12,12/31/2018,143,Average,Somewhat safe,Somewhat unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1380,2776,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,175,Somewhat clean,Somewhat safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1381,1900,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,160,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1383,2247,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,12/31/2018,190,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1384,2669,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,155,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1385,3291,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,95,Somewhat clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1386,1777,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,12/31/2018,195,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1387,3174,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,30,Clean,Somewhat safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1388,851,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,130,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1389,2435,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,20,Clean,Very safe,Very satisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1390,1524,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1391,1193,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,12/31/2018,140,Average,Very safe,Neutral,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1392,3094,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,113,Somewhat clean,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1393,1845,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,12/31/2018,135,Average,Somewhat safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1395,2534,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,255,Clean,Very safe,Somewhat satsified,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
1396,725,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,12/31/2018,215,Clean,Somewhat safe,Very unsatisfied,Michael Ward,One of the other travelers was really loud and talkative and was making a scene and no one did anything about it
